Em qual editora de quadrinhos surgiram os X-Men?,DC Comics,Marvel,Image Comics,2
Qual pais venceu a Copa do Mundo de 2022 no Catar?,Franca,Argentina,Croacia,2
Quem e o criador do Facebook?,Steve Jobs,Bill Gates,Mark Zuckerberg,3
Quantos minutos tem uma partida normal de futebol?,80,90,100,2
Quem foi o primeiro presidente do Brasil?,Getulio Vargas,Marechal Deodoro da Fonseca,Juscelino Kubitschek,2
Qual actor interpretou o Coringa no filme de 2019?,Heath Ledger,Joaquin Phoenix,Jared Leto,2
Qual e o metal mais caro do mundo?,Ouro,Rodio,Prata,2
Em que ano ocorreu o atentado do 11 de Setembro?,1999,2001,2004,2
Quantos lados tem um hexagono?,5,6,7,2
Qual influencer brasileiro se envolveu in uma polemica de traicao com Luiza Sonza?,Chico Moedas,Neymar,Whindersson Nunes,1
Qual o nome do robo de IA anunciado pelo Google?,Alexa,Gemini,Siri,2
Qual o maior rival do Batman nos quadrinhos?,Pinguim,Charada,Coringa,3
Qual selecao feminina de futebol ganhou a medalha de prata nas Olimpiadas de Paris 2024?,Brasil,EUA,Alemanha,1
Quem escreveu a obra Dom Casmurro?,Machado de Assis,Monteiro Lobato,Clarice Lispector,1
Qual o resultado da expressao 2 + 2 x 2?,8,6,4,2
Qual tiktoker e a pessoa mais seguida do mundo atualmente?,Khaby Lame,Charli DAmelio,MrBeast,1
Qual foi o principal motivo do cancelamento do Twitter no Brasil em 2024?,Falta de representante legal,Problemas tecnicos,Falta de pagamento de impostos,1
Quem e conhecido como o Rei do Pop?,Michael Jackson,Prince,Elvis Presley,1
Qual influenciador criou a marca de maquiagem WePink?,Virginia Fonseca,Bianca Andrade,Mari Maria,1
Em que ano ocorreu a queda do Muro de Berlim?,1985,1989,1991,2
Quanto e 15% de 200?,20,30,40,2
Quem descobriu a Lei da Gravidade?,Albert Einstein,Isaac Newton,Galileu Galilei,2
Qual pais sediou as Olimpiadas de 2024?,Grecia,EUA,Franca,3
Qual clube brasileiro e conhecido como o Imortal?,Gremio,Internacional,Cruzeiro,1
Qual e o nome real do heroi Batman nos quadrinhos?,Clark Kent,Bruce Wayne,Peter Parker,2
Qual o nome da inteligenciada artificial integrada ao Windows?,Copilot,Cortana,Siri,1
Qual pais tem o maior territorio do mundo?,Canada,EUA,Russia,3
Quem foi o grande campeao do BBB 24?,Davi,Matteus,Isabelle,1
Qual time de futebol venceu o Brasileirao de 2024?,Palmeiras,Botafogo,Flamengo,2
Quem e o heroi que usa um escudo de Vibranium?,Homem de Ferro,Capitao America,Thor,2
Em qual filme de ficcao cientifica vemos as pilulas azul e vermelha?,Interestelar,Matrix,Inception,2
Qual e o resultado de 10 elevado a 3?,100,1000,10000,2
Qual e o maior mamifero do mundo?,Elefante Africano,Baleia Azul,Tubarao Baleia,2
Quem e o autor de Harry Potter?,J R R Tolkien,J K Rowling,George R R Martin,2
Qual navegador de internet e desenvolvido pela Google?,Firefox,Safari,Chrome,3
Qual streamer bateu o recorde brasileiro de audiencia ao transmitir a Copa do Mundo?,Gaules,Casimiro,Alanzoka,2
Qual foi a sede da Copa do Mundo de 1970 onde o Brasil foi Tri?,Mexico,Chile,Brasil,1
Qual super-heroi da DC e o rei de Atlantida?,Aquaman,Flash,Cyborg,1
Qual e o nome da galaxia em que vivemos?,Andromeda,Via Lactea,Magalhaes,2
De quem e a famosa frase Penso logo existo?,Rene Descartes,Socrates,Platao,1
Qual e o maior bioma do Brasil?,Cerrado,Mata Atlantica,Amazonia,3
Qual pais venceu a Copa do Mundo de 2014 no Brasil?,Argentina,Alemanha,Franca,2
Quem e o vilao do filme Star Wars que usa uma mascara preta?,Darth Vader,Kylo Ren,Palpatine,1
Qual e o valor do numero Pi aproximado?,3.14,3.16,3.12,1
Em que ano o homem pisou na Lua pela primeira vez?,1965,1969,1975,2
Quem e o maior vencedor de GPs na historia da Formula 1?,Michael Schumacher,Lewis Hamilton,Ayrton Senna,2
Qual influencer e dona da marca Boca Rosa?,Bianca Andrade,Jade Picon,Virginia,1
Quem e o atual diretor da franquia de filmes do Superman nos cinemas?,Zack Snyder,James Gunn,Christopher Nolan,2
Qual e a linguagem de programacao principal usada para criar o Android?,Swift,Java,Python,2
Qual e o menor pais do mundo?,Monaco,Vaticano,Malta,2
Qual o nome do festival de musica que ocorre no Rio de Janeiro?,Lollapalooza,Rock in Rio,Tomorrowland,2
Quantas Copas do Mundo o jogador Pele venceu?,2,3,4,2
Quem e o heroi arqueiro membro dos Vingadores?,Gaviao Arqueiro,Arqueiro Verde,Robin,1
Qual e a capital da Franca?,Londres,Paris,Roma,2
Se um triangulo tem lados iguais como ele se chama?,Escaleno,Isosceles,Equilatero,3
Qual rede social foca in conexoes profissionais?,Instagram,LinkedIn,Facebook,2
Quem e o atual CEO da Tesla?,Jeff Bezos,Mark Zuckerberg,Elon Musk,3
Quem e o atual campeao dos pesos pesados do UFC?,Jon Jones,Tom Aspinall,Alex Poatan,1
Quem e a cantora mais rica do mundo dona da marca Fenty Beauty?,Beyonce,Rihanna,Taylor Swift,2
Em qual ano aconteceu o acidente nuclear de Chernobyl?,1980,1986,1990,2
Qual e o elemento mais abundante no universo?,Oxigenio,Hidrogenio,Helio,2
Quantos anos durou a Guerra dos Cem Anos?,100,116,99,2
Qual e o time de futebol com mais titulos de Libertadores no Brasil?,Flamengo,Sao Paulo,Palmeiras,2
Quem e o vilao com a cara queimada de duas cores do Batman?,Pinguim,Duas-Caras,Charada,2
Qual o nome da moeda utilizada na Uniao Europeia?,Dolar,Libra,Euro,3
Qual canal do YouTube pertence ao influencer Jimmy Donaldson?,MrBeast,PewDiePie,Dude Perfect,1
Qual o nome do estadio de futebol mais famoso do Rio de Janeiro?,Maracana,Mineirao,Morumbi,1
Qual e o nome do heroi alter ego de Peter Parker?,Coringa,Homem-Aranha,Batman,2
Quem escreveu a peca de teatro Romeu e Julieta?,Machado de Assis,William Shakespeare,Clarice Lispector,2
Qual e o resultado da soma dos angulos internos de um triangulo?,90 graus,180 graus,360 graus,2
Quantos bits existem em um byte?,4,8,16,2
Qual o pais de origem da marca de tecnologia Samsung?,Japao,Coreia do Sul,China,2
Quem e o maior artilheiro da historia da Selecao Brasileira masculina?,Neymar,Pele,Ronaldo,1
Em qual ano iniciou o governo de Getulio Vargas conhecido como Estado Novo?,1930,1937,1945,2
Quem dirige o aclamado filme Oppenheimer de 2023?,Steven Spielberg,Christopher Nolan,Quentin Tarantino,2
Qual e o componente considerado o cerebro do computador?,Memoria RAM,Placa de Video,Processador CPU,3
Qual o maior deserto do mundo?,Saara,Atacama,Antartica,3
Quem e a maior celebridade pop que arrastou multidoes com a The Eras Tour?,Beyonce,Taylor Swift,Lady Gaga,2
Qual e o maior pais do continente africano?,Nigeria,Egito,Argelia,3
